"gene","symbol","module","chromosome","gene_strand","TSS","promoter_start","promoter_end","erv_fragment_id","repeat_start","repeat_end","erv_strand","repName","repFamily","repeat_part","percent_divergence"
"ENSG00000226107.1","RPL36AP54","pink","chrX","+",134522702,134520702,134523201,"chrX_134520972_134521429_MLT1H1",134520972,134521429,"+","MLT1H1","ERVL-MaLR","LTR_or_other",23.9
"ENSG00000226107.1","RPL36AP54","pink","chrX","+",134522702,134520702,134523201,"chrX_134521733_134521776_MLT1H1",134521733,134521776,"+","MLT1H1","ERVL-MaLR","LTR_or_other",23.9
"ENSG00000196922.11","ZNF252P","yellow","chr8","-",145002810,145002311,145004810,"chr8_145004105_145004458_MER67C",145004105,145004458,"+","MER67C","ERV1","LTR_or_other",18.1
"ENSG00000254224.2","UQCRB-AS1","blue","chr8","+",96235427,96233427,96235926,"chr8_96235916_96236475_MER34D",96235916,96236475,"+","MER34D","ERV1","LTR_or_other",14.3
"ENSG00000271755.1","ENSG00000271755","black","chr6","-",27406964,27406465,27408964,"chr6_27406279_27406626_HERVL18-int",27406279,27406626,"-","HERVL18-int","ERVL","internal",16.7
"ENSG00000271755.1","ENSG00000271755","black","chr6","-",27406964,27406465,27408964,"chr6_27406669_27406837_HERVL18-int",27406669,27406837,"-","HERVL18-int","ERVL","internal",21.3
"ENSG00000271755.1","ENSG00000271755","black","chr6","-",27406964,27406465,27408964,"chr6_27406823_27407107_HERVL18-int",27406823,27407107,"-","HERVL18-int","ERVL","internal",19.1
"ENSG00000271755.1","ENSG00000271755","black","chr6","-",27406964,27406465,27408964,"chr6_27407129_27407723_LTR18B",27407129,27407723,"-","LTR18B","ERVL","LTR_or_other",13
"ENSG00000178226.11","PRSS36","cyan","chr16","-",31150066,31149567,31152066,"chr16_31151114_31151210_LTR33",31151114,31151210,"-","LTR33","ERVL","LTR_or_other",23.5
"ENSG00000178226.11","PRSS36","cyan","chr16","-",31150066,31149567,31152066,"chr16_31151508_31151761_LTR33",31151508,31151761,"-","LTR33","ERVL","LTR_or_other",23.5
"ENSG00000178226.11","PRSS36","cyan","chr16","-",31150066,31149567,31152066,"chr16_31152022_31152139_LTR33",31152022,31152139,"-","LTR33","ERVL","LTR_or_other",23.5
"ENSG00000228784.9","LINC00954","turquoise","chr2","+",19868860,19866860,19869359,"chr2_19867221_19867639_MLT1C",19867221,19867639,"-","MLT1C","ERVL-MaLR","LTR_or_other",22.9
"ENSG00000213985.4","ENSG00000213985","magenta","chr19","+",20257720,20255720,20258219,"chr19_20257844_20258353_LTR6B",20257844,20258353,"+","LTR6B","ERV1","LTR_or_other",5.9
"ENSG00000164292.13","RHOBTB3","black","chr5","+",95713522,95711522,95714021,"chr5_95710731_95712075_HERVS71-int",95710731,95712075,"-","HERVS71-int","ERV1","internal",9
"ENSG00000164292.13","RHOBTB3","black","chr5","+",95713522,95711522,95714021,"chr5_95712239_95712860_MLT1G",95712239,95712860,"+","MLT1G","ERVL-MaLR","LTR_or_other",24.6
"ENSG00000164292.13","RHOBTB3","black","chr5","+",95713522,95711522,95714021,"chr5_95713281_95713670_MSTA",95713281,95713670,"+","MSTA","ERVL-MaLR","LTR_or_other",11.6
"ENSG00000278991.1","ENSG00000278991","grey","chr15","-",77064910,77064411,77066910,"chr15_77066806_77067198_MSTC",77066806,77067198,"-","MSTC","ERVL-MaLR","LTR_or_other",8.5
"ENSG00000257322.7","ENSG00000257322","turquoise","chr12","-",93215679,93215180,93217679,"chr12_93216606_93216963_THE1B",93216606,93216963,"+","THE1B","ERVL-MaLR","LTR_or_other",13
"ENSG00000257761.3","ENSG00000257761","grey","chr12","-",71594404,71593905,71596404,"chr12_71594021_71594494_LTR79",71594021,71594494,"-","LTR79","ERVL","LTR_or_other",29.6
"ENSG00000257761.3","ENSG00000257761","grey","chr12","-",71594404,71593905,71596404,"chr12_71594881_71595355_LTR79",71594881,71595355,"-","LTR79","ERVL","LTR_or_other",29.4
"ENSG00000243302.3","ENSG00000243302","greenyellow","chr7","+",128651185,128649185,128651684,"chr7_128650339_128650491_LTR41",128650339,128650491,"+","LTR41","ERVL","LTR_or_other",20.9
"ENSG00000102524.12","TNFSF13B","turquoise","chr13","+",108251240,108249240,108251739,"chr13_108249008_108249478_MLT1C",108249008,108249478,"+","MLT1C","ERVL-MaLR","LTR_or_other",24.3
"ENSG00000279970.1","ENSG00000279970","black","chr15","-",101301648,101301149,101303648,"chr15_101302965_101303150_MLT1O",101302965,101303150,"+","MLT1O","ERVL-MaLR","LTR_or_other",31.4
"ENSG00000279970.1","ENSG00000279970","black","chr15","-",101301648,101301149,101303648,"chr15_101303406_101303481_MLT1O",101303406,101303481,"+","MLT1O","ERVL-MaLR","LTR_or_other",30.1
"ENSG00000173041.12","ZNF680","yellow","chr7","-",64563075,64562576,64565075,"chr7_64562251_64562607_MER57E3",64562251,64562607,"+","MER57E3","ERV1","LTR_or_other",14.7
"ENSG00000273133.1","ENSG00000273133","grey","chr4","-",15564253,15563754,15566253,"chr4_15563652_15563849_MLT1O",15563652,15563849,"-","MLT1O","ERVL-MaLR","LTR_or_other",28
"ENSG00000242282.6","ENSG00000242282","blue","chr2","-",3536873,3536374,3538873,"chr2_3536384_3536708_MER31A",3536384,3536708,"+","MER31A","ERV1","LTR_or_other",25.5
"ENSG00000242282.6","ENSG00000242282","blue","chr2","-",3536873,3536374,3538873,"chr2_3536726_3537095_MLT1A",3536726,3537095,"-","MLT1A","ERVL-MaLR","LTR_or_other",21.8
"ENSG00000239713.9","APOBEC3G","turquoise","chr22","+",39077084,39075084,39077583,"chr22_39074794_39075441_MER49",39074794,39075441,"+","MER49","ERV1","LTR_or_other",18
"ENSG00000239713.9","APOBEC3G","turquoise","chr22","+",39077084,39075084,39077583,"chr22_39075713_39076181_LTR7C",39075713,39076181,"-","LTR7C","ERV1","LTR_or_other",7.5
"ENSG00000239713.9","APOBEC3G","turquoise","chr22","+",39077084,39075084,39077583,"chr22_39076257_39076509_MER49",39076257,39076509,"+","MER49","ERV1","LTR_or_other",14.6
"ENSG00000260118.1","ENSG00000260118","grey","chrX","-",68014901,68014402,68016901,"chrX_68016052_68017118_MER11C",68016052,68017118,"+","MER11C","ERVK","LTR_or_other",4.4
"ENSG00000129195.16","PIMREG","saddlebrown","chr17","+",6444441,6442441,6444940,"chr17_6443354_6443408_MSTD",6443354,6443408,"-","MSTD","ERVL-MaLR","LTR_or_other",12.7
"ENSG00000163354.15","DCST2","turquoise","chr1","-",155033781,155033282,155035781,"chr1_155035466_155035626_MLT1L",155035466,155035626,"-","MLT1L","ERVL-MaLR","LTR_or_other",26.1
"ENSG00000228049.7","POLR2J2","grey","chr7","-",102671629,102671130,102673629,"chr7_102672564_102673534_LTR13",102672564,102673534,"+","LTR13","ERVK","LTR_or_other",3.5
"ENSG00000230076.1","RPL10P6","grey","chr2","+",214847128,214845128,214847627,"chr2_214845472_214845617_MER57E1",214845472,214845617,"-","MER57E1","ERV1","LTR_or_other",18.4
"ENSG00000230076.1","RPL10P6","grey","chr2","+",214847128,214845128,214847627,"chr2_214845915_214845957_MER57E1",214845915,214845957,"-","MER57E1","ERV1","LTR_or_other",18.4
"ENSG00000230076.1","RPL10P6","grey","chr2","+",214847128,214845128,214847627,"chr2_214846080_214846304_ERV3-16A3_I-int",214846080,214846304,"-","ERV3-16A3_I-int","ERVL","internal",26.6
"ENSG00000230076.1","RPL10P6","grey","chr2","+",214847128,214845128,214847627,"chr2_214846312_214846436_MER57E1",214846312,214846436,"-","MER57E1","ERV1","LTR_or_other",14.4
"ENSG00000230076.1","RPL10P6","grey","chr2","+",214847128,214845128,214847627,"chr2_214846531_214846768_LTR16C",214846531,214846768,"-","LTR16C","ERVL","LTR_or_other",26.2
"ENSG00000211976.2","IGHV3-73","brown","chr14","-",106803233,106802734,106805233,"chr14_106804638_106804989_MLT1A0",106804638,106804989,"-","MLT1A0","ERVL-MaLR","LTR_or_other",24.5
"ENSG00000272265.1","ENSG00000272265","lightgreen","chr5","-",116078570,116078071,116080570,"chr5_116079690_116079851_LTR16D",116079690,116079851,"+","LTR16D","ERVL","LTR_or_other",27.2
"ENSG00000170430.10","MGMT","blue","chr10","+",129467190,129465190,129467689,"chr10_129466067_129466469_MLT1C",129466067,129466469,"-","MLT1C","ERVL-MaLR","LTR_or_other",24.2
"ENSG00000267731.1","ENSG00000267731","greenyellow","chr17","+",68189884,68187884,68190383,"chr17_68187784_68188179_MLT1B",68187784,68188179,"-","MLT1B","ERVL-MaLR","LTR_or_other",20.9
"ENSG00000228793.3","ENSG00000228793","grey","chr6","-",3720081,3719582,3722081,"chr6_3719559_3721329_LTR12C",3719559,3721329,"-","LTR12C","ERV1","LTR_or_other",9.7
"ENSG00000255302.5","EID1","blue","chr15","+",48878134,48876134,48878633,"chr15_48876395_48876449_MLT2A1",48876395,48876449,"-","MLT2A1","ERVL","LTR_or_other",9.1
"ENSG00000255302.5","EID1","blue","chr15","+",48878134,48876134,48878633,"chr15_48876479_48876908_MLT2A1",48876479,48876908,"-","MLT2A1","ERVL","LTR_or_other",6.8
"ENSG00000143951.16","WDPCP","brown","chr2","-",63827843,63827344,63829843,"chr2_63827553_63827735_MLT1K",63827553,63827735,"-","MLT1K","ERVL-MaLR","LTR_or_other",22.7
"ENSG00000255346.10","NOX5","grey","chr15","+",68974729,68972729,68975228,"chr15_68972370_68972843_MLT1C",68972370,68972843,"-","MLT1C","ERVL-MaLR","LTR_or_other",15.1
"ENSG00000255346.10","NOX5","grey","chr15","+",68974729,68972729,68975228,"chr15_68972844_68972972_ERVL-E-int",68972844,68972972,"-","ERVL-E-int","ERVL","internal",24.3
"ENSG00000255346.10","NOX5","grey","chr15","+",68974729,68972729,68975228,"chr15_68973114_68973403_ERVL-E-int",68973114,68973403,"-","ERVL-E-int","ERVL","internal",30.4
"ENSG00000255346.10","NOX5","grey","chr15","+",68974729,68972729,68975228,"chr15_68974769_68976233_LTR12C",68974769,68976233,"-","LTR12C","ERV1","LTR_or_other",7.5
"ENSG00000225531.1","ENSG00000225531","magenta","chr9","+",107116829,107114829,107117328,"chr9_107116683_107116750_MLT1F",107116683,107116750,"-","MLT1F","ERVL-MaLR","LTR_or_other",19.1
"ENSG00000267809.1","NDUFV2P1","yellow","chr19","-",53224879,53224380,53226879,"chr19_53225659_53226015_MER66A",53225659,53226015,"+","MER66A","ERV1","LTR_or_other",14.9
"ENSG00000267809.1","NDUFV2P1","yellow","chr19","-",53224879,53224380,53226879,"chr19_53226271_53226367_MER66A",53226271,53226367,"+","MER66A","ERV1","LTR_or_other",14.9
"ENSG00000166924.9","NYAP1","turquoise","chr7","+",100483927,100481927,100484426,"chr7_100482852_100482936_MLT1D",100482852,100482936,"-","MLT1D","ERVL-MaLR","LTR_or_other",22.6
"ENSG00000271743.1","ENSG00000271743","grey","chr8","-",6617198,6616699,6619198,"chr8_6616891_6617250_LTR37A",6616891,6617250,"+","LTR37A","ERV1","LTR_or_other",21.3
"ENSG00000271743.1","ENSG00000271743","grey","chr8","-",6617198,6616699,6619198,"chr8_6618714_6619167_MLT1L",6618714,6619167,"-","MLT1L","ERVL-MaLR","LTR_or_other",31
"ENSG00000213463.5","SYNJ2BP","yellow","chr14","-",70417090,70416591,70419090,"chr14_70417283_70417906_MER67C",70417283,70417906,"-","MER67C","ERV1","LTR_or_other",21.7
"ENSG00000135622.13","SEMA4F","blue","chr2","+",74654228,74652228,74654727,"chr2_74652491_74652980_MLT1F",74652491,74652980,"+","MLT1F","ERVL-MaLR","LTR_or_other",21.6
"ENSG00000135622.13","SEMA4F","blue","chr2","+",74654228,74652228,74654727,"chr2_74653038_74653112_MLT1F",74653038,74653112,"+","MLT1F","ERVL-MaLR","LTR_or_other",10.9
"ENSG00000117222.14","RBBP5","brown","chr1","-",205122015,205121516,205124015,"chr1_205123025_205123182_MLT1O",205123025,205123182,"+","MLT1O","ERVL-MaLR","LTR_or_other",33.8
"ENSG00000070669.17","ASNS","pink","chr7","-",97872542,97872043,97874542,"chr7_97873925_97874683_MER11C",97873925,97874683,"-","MER11C","ERVK","LTR_or_other",3.7
"ENSG00000281195.1","ENSG00000281195","turquoise","chr2","+",71373938,71371938,71374437,"chr2_71373792_71373832_MER4D0",71373792,71373832,"-","MER4D0","ERV1","LTR_or_other",7.3
"ENSG00000206503.13","HLA-A","turquoise","chr6","+",29941260,29939260,29941759,"chr6_29939074_29939518_MLT1F1",29939074,29939518,"+","MLT1F1","ERVL-MaLR","LTR_or_other",22.2
"ENSG00000206503.13","HLA-A","turquoise","chr6","+",29941260,29939260,29941759,"chr6_29940039_29940324_MLT1E3",29940039,29940324,"+","MLT1E3","ERVL-MaLR","LTR_or_other",24.2
"ENSG00000206503.13","HLA-A","turquoise","chr6","+",29941260,29939260,29941759,"chr6_29940626_29940882_MLT1E3",29940626,29940882,"+","MLT1E3","ERVL-MaLR","LTR_or_other",24.2
"ENSG00000169679.15","BUB1","saddlebrown","chr2","-",110678063,110677564,110680063,"chr2_110679297_110679797_LTR2C",110679297,110679797,"+","LTR2C","ERV1","LTR_or_other",7.5
"ENSG00000104738.18","MCM4","blue","chr8","+",47960185,47958185,47960684,"chr8_47957917_47958511_MLT1D",47957917,47958511,"+","MLT1D","ERVL-MaLR","LTR_or_other",20.9
"ENSG00000146006.8","LRRTM2","grey","chr5","-",138875229,138874730,138877229,"chr5_138876853_138877148_LTR16B",138876853,138877148,"-","LTR16B","ERVL","LTR_or_other",28.3
"ENSG00000285756.2","ENSG00000285756","turquoise","chrX","-",3937855,3937356,3939855,"chrX_3937072_3937509_MER67D",3937072,3937509,"+","MER67D","ERV1","LTR_or_other",25.4
"ENSG00000230333.6","ENSG00000230333","green","chr7","+",11180902,11178902,11181401,"chr7_11181305_11181439_LTR79",11181305,11181439,"+","LTR79","ERVL","LTR_or_other",26.8
"ENSG00000130702.15","LAMA5","pink","chr20","-",62367312,62366813,62369312,"chr20_62366949_62367030_LTR35B",62366949,62367030,"-","LTR35B","ERV1","LTR_or_other",13.4
"ENSG00000126583.12","PRKCG","lightyellow","chr19","+",53879190,53877190,53879689,"chr19_53877313_53878272_LTR13A",53877313,53878272,"-","LTR13A","ERVK","LTR_or_other",5.6
"ENSG00000217648.1","ENSG00000217648","blue","chr6","+",143342246,143340246,143342745,"chr6_143341105_143341353_ERVL-E-int",143341105,143341353,"+","ERVL-E-int","ERVL","internal",28.7
"ENSG00000217648.1","ENSG00000217648","blue","chr6","+",143342246,143340246,143342745,"chr6_143341376_143341773_MLT1B",143341376,143341773,"+","MLT1B","ERVL-MaLR","LTR_or_other",16.3
"ENSG00000217648.1","ENSG00000217648","blue","chr6","+",143342246,143340246,143342745,"chr6_143341780_143341923_ERVL-E-int",143341780,143341923,"+","ERVL-E-int","ERVL","internal",29.9
"ENSG00000155324.10","GRAMD2B","turquoise","chr5","+",126360132,126358132,126360631,"chr5_126358481_126358953_MLT1H",126358481,126358953,"-","MLT1H","ERVL-MaLR","LTR_or_other",30.3
"ENSG00000166960.17","CCDC178","green","chr18","-",33441101,33440602,33443101,"chr18_33442180_33442624_MLT1E3",33442180,33442624,"+","MLT1E3","ERVL-MaLR","LTR_or_other",23.6
"ENSG00000166960.17","CCDC178","green","chr18","-",33441101,33440602,33443101,"chr18_33442926_33443105_MLT1E3",33442926,33443105,"+","MLT1E3","ERVL-MaLR","LTR_or_other",23.6
"ENSG00000117602.13","RCAN3","grey","chr1","+",24502383,24500383,24502882,"chr1_24500428_24500576_MLT1K",24500428,24500576,"+","MLT1K","ERVL-MaLR","LTR_or_other",27.4
"ENSG00000136531.19","SCN2A","lightyellow","chr2","+",165208262,165206262,165208761,"chr2_165205888_165206352_MLT1C",165205888,165206352,"-","MLT1C","ERVL-MaLR","LTR_or_other",23.5
"ENSG00000136531.19","SCN2A","lightyellow","chr2","+",165208262,165206262,165208761,"chr2_165206670_165207056_THE1B",165206670,165207056,"+","THE1B","ERVL-MaLR","LTR_or_other",10.8
"ENSG00000214100.9","PLAC9P1","grey","chr2","-",129934322,129933823,129936322,"chr2_129934819_129934951_LTR37A",129934819,129934951,"-","LTR37A","ERV1","LTR_or_other",18.5
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35024678_35025134_LTR7B",35024678,35025134,"-","LTR7B","ERV1","LTR_or_other",4.6
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35025135_35025629_MER4-int",35025135,35025629,"-","MER4-int","ERV1","internal",16.8
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35025664_35025722_HERV35I-int",35025664,35025722,"-","HERV35I-int","ERV1","internal",18.6
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35026121_35026204_MER83",35026121,35026204,"-","MER83","ERV1","LTR_or_other",13.2
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35026205_35026754_MER41A",35026205,35026754,"+","MER41A","ERV1","LTR_or_other",6.4
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35026755_35027086_MER83",35026755,35027086,"-","MER83","ERV1","LTR_or_other",13.2
"ENSG00000287868.1","ENSG00000287868","greenyellow","chr9","-",35025402,35024903,35027402,"chr9_35027092_35027649_MER4-int",35027092,35027649,"-","MER4-int","ERV1","internal",9.5
"ENSG00000105447.13","GRWD1","brown","chr19","+",48445841,48443841,48446340,"chr19_48445205_48445589_LTR82A",48445205,48445589,"-","LTR82A","ERVL","LTR_or_other",24.1
"ENSG00000145248.7","SLC10A4","blue","chr4","+",48483343,48481343,48483842,"chr4_48481542_48481703_LTR101_Mam",48481542,48481703,"-","LTR101_Mam","ERVL","LTR_or_other",32
"ENSG00000145248.7","SLC10A4","blue","chr4","+",48483343,48481343,48483842,"chr4_48481753_48481842_LTR101_Mam",48481753,48481842,"-","LTR101_Mam","ERVL","LTR_or_other",25.9
"ENSG00000258303.1","ENSG00000258303","grey","chr12","+",93836167,93834167,93836666,"chr12_93833845_93834241_MLT1I",93833845,93834241,"+","MLT1I","ERVL-MaLR","LTR_or_other",30.2
"ENSG00000239998.7","LILRA2","cyan","chr19","+",54572920,54570920,54573419,"chr19_54568509_54571051_ERVL-B4-int",54568509,54571051,"+","ERVL-B4-int","ERVL","internal",20.5
"ENSG00000259604.5","ENSG00000259604","grey","chr15","+",100861843,100859843,100862342,"chr15_100859597_100860114_MLT1F1",100859597,100860114,"+","MLT1F1","ERVL-MaLR","LTR_or_other",19
"ENSG00000259604.5","ENSG00000259604","grey","chr15","+",100861843,100859843,100862342,"chr15_100860119_100860503_MLT1I",100860119,100860503,"+","MLT1I","ERVL-MaLR","LTR_or_other",29.1
"ENSG00000247516.8","MIR4458HG","tan","chr5","+",8450701,8448701,8451200,"chr5_8449169_8449220_LTR33C",8449169,8449220,"+","LTR33C","ERVL","LTR_or_other",21.6
"ENSG00000247516.8","MIR4458HG","tan","chr5","+",8450701,8448701,8451200,"chr5_8449764_8450032_ERVL-E-int",8449764,8450032,"+","ERVL-E-int","ERVL","internal",25.3
"ENSG00000247516.8","MIR4458HG","tan","chr5","+",8450701,8448701,8451200,"chr5_8450403_8450920_ERVL-E-int",8450403,8450920,"+","ERVL-E-int","ERVL","internal",26.8
"ENSG00000247516.8","MIR4458HG","tan","chr5","+",8450701,8448701,8451200,"chr5_8450944_8451822_ERVL-E-int",8450944,8451822,"+","ERVL-E-int","ERVL","internal",28.7
"ENSG00000110911.17","SLC11A2","brown","chr12","-",51028566,51028067,51030566,"chr12_51029763_51030038_LTR18B",51029763,51030038,"-","LTR18B","ERVL","LTR_or_other",15.1
"ENSG00000110911.17","SLC11A2","brown","chr12","-",51028566,51028067,51030566,"chr12_51030521_51030564_MER41E",51030521,51030564,"+","MER41E","ERV1","LTR_or_other",18.2
"ENSG00000272505.1","ENSG00000272505","blue","chr8","+",10486807,10484807,10487306,"chr8_10484910_10485351_LTR33B",10484910,10485351,"+","LTR33B","ERVL","LTR_or_other",29.3
"ENSG00000272505.1","ENSG00000272505","blue","chr8","+",10486807,10484807,10487306,"chr8_10485356_10485966_ERVL-E-int",10485356,10485966,"+","ERVL-E-int","ERVL","internal",28.6
"ENSG00000272505.1","ENSG00000272505","blue","chr8","+",10486807,10484807,10487306,"chr8_10485983_10486232_ERVL-E-int",10485983,10486232,"+","ERVL-E-int","ERVL","internal",32.2
"ENSG00000272505.1","ENSG00000272505","blue","chr8","+",10486807,10484807,10487306,"chr8_10486335_10486599_ERVL-E-int",10486335,10486599,"+","ERVL-E-int","ERVL","internal",24.7
"ENSG00000272505.1","ENSG00000272505","blue","chr8","+",10486807,10484807,10487306,"chr8_10486612_10487565_ERVL-E-int",10486612,10487565,"+","ERVL-E-int","ERVL","internal",28.6
"ENSG00000124217.5","MOCS3","brown","chr20","+",50959141,50957141,50959640,"chr20_50958126_50958171_MLT1O",50958126,50958171,"-","MLT1O","ERVL-MaLR","LTR_or_other",17.4
"ENSG00000188833.10","ENTPD8","grey","chr9","-",137441449,137440950,137443449,"chr9_137441979_137442048_MER41D",137441979,137442048,"+","MER41D","ERV1","LTR_or_other",18.6
"ENSG00000169203.17","NPIPB12","black","chr16","-",29505999,29505500,29507999,"chr16_29507644_29507706_MER101-int",29507644,29507706,"+","MER101-int","ERV1","internal",6.5
"ENSG00000169203.17","NPIPB12","black","chr16","-",29505999,29505500,29507999,"chr16_29507698_29508187_MER101-int",29507698,29508187,"+","MER101-int","ERV1","internal",17.1
"ENSG00000279072.1","ENSG00000279072","darkorange","chr7","-",56848800,56848301,56850800,"chr7_56849083_56849146_LTR41",56849083,56849146,"-","LTR41","ERVL","LTR_or_other",21.6
"ENSG00000279072.1","ENSG00000279072","darkorange","chr7","-",56848800,56848301,56850800,"chr7_56849448_56849484_LTR41",56849448,56849484,"-","LTR41","ERVL","LTR_or_other",21.6
"ENSG00000279072.1","ENSG00000279072","darkorange","chr7","-",56848800,56848301,56850800,"chr7_56849779_56849862_LTR41",56849779,56849862,"-","LTR41","ERVL","LTR_or_other",21.6
"ENSG00000271788.1","ENSG00000271788","blue","chr5","-",43007543,43007044,43009543,"chr5_43007613_43008023_MER61D",43007613,43008023,"+","MER61D","ERV1","LTR_or_other",15.1
"ENSG00000177599.13","ZNF491","blue","chr19","+",11798599,11796599,11799098,"chr19_11799051_11799248_MER57E3",11799051,11799248,"-","MER57E3","ERV1","LTR_or_other",25.1
"ENSG00000010256.11","UQCRC1","yellow","chr3","-",48610976,48610477,48612976,"chr3_48610753_48611082_LTR64",48610753,48611082,"-","LTR64","ERV1","LTR_or_other",16.3
"ENSG00000010256.11","UQCRC1","yellow","chr3","-",48610976,48610477,48612976,"chr3_48611422_48611548_MER49",48611422,48611548,"-","MER49","ERV1","LTR_or_other",15.3
"ENSG00000010256.11","UQCRC1","yellow","chr3","-",48610976,48610477,48612976,"chr3_48611855_48611993_MER49",48611855,48611993,"-","MER49","ERV1","LTR_or_other",15
"ENSG00000010256.11","UQCRC1","yellow","chr3","-",48610976,48610477,48612976,"chr3_48612301_48612684_MER49",48612301,48612684,"-","MER49","ERV1","LTR_or_other",15
"ENSG00000281852.1","LINC00891","turquoise","chrX","+",71697196,71695196,71697695,"chrX_71697497_71697553_HERVK11-int",71697497,71697553,"+","HERVK11-int","ERVK","internal",21.1
"ENSG00000163069.13","SGCB","yellow","chr4","-",52038299,52037800,52040299,"chr4_52040295_52040388_MLT1C",52040295,52040388,"+","MLT1C","ERVL-MaLR","LTR_or_other",24.5
"ENSG00000122783.17","CYREN","brown","chr7","-",135170795,135170296,135172795,"chr7_135171123_135171262_HERV1_LTRd",135171123,135171262,"+","HERV1_LTRd","ERV1","LTR_or_other",8.7
"ENSG00000122783.17","CYREN","brown","chr7","-",135170795,135170296,135172795,"chr7_135171264_135171741_LTR2B",135171264,135171741,"+","LTR2B","ERV1","LTR_or_other",4.7
"ENSG00000122783.17","CYREN","brown","chr7","-",135170795,135170296,135172795,"chr7_135171743_135172083_Harlequin-int",135171743,135172083,"+","Harlequin-int","ERV1","internal",10.1
"ENSG00000122783.17","CYREN","brown","chr7","-",135170795,135170296,135172795,"chr7_135172079_135172196_Harlequin-int",135172079,135172196,"+","Harlequin-int","ERV1","internal",7.6
"ENSG00000122783.17","CYREN","brown","chr7","-",135170795,135170296,135172795,"chr7_135172192_135172846_Harlequin-int",135172192,135172846,"+","Harlequin-int","ERV1","internal",9.2
"ENSG00000256293.2","ATP6V1E1P3","grey","chr12","-",64338797,64338298,64340797,"chr12_64338908_64339293_MER34A",64338908,64339293,"+","MER34A","ERV1","LTR_or_other",19.7
"ENSG00000256293.2","ATP6V1E1P3","grey","chr12","-",64338797,64338298,64340797,"chr12_64339294_64339548_MER21C",64339294,64339548,"-","MER21C","ERVL","LTR_or_other",22.1
"ENSG00000256293.2","ATP6V1E1P3","grey","chr12","-",64338797,64338298,64340797,"chr12_64339856_64339906_MLT2A1",64339856,64339906,"-","MLT2A1","ERVL","LTR_or_other",5.9
"ENSG00000256293.2","ATP6V1E1P3","grey","chr12","-",64338797,64338298,64340797,"chr12_64340014_64340411_MLT2A1",64340014,64340411,"-","MLT2A1","ERVL","LTR_or_other",8.3
"ENSG00000256293.2","ATP6V1E1P3","grey","chr12","-",64338797,64338298,64340797,"chr12_64340412_64346075_HERVL-int",64340412,64346075,"-","HERVL-int","ERVL","internal",6.1
"ENSG00000227176.1","NSA2P5","blue","chr2","-",170078294,170077795,170080294,"chr2_170078402_170078758_HERVL-int",170078402,170078758,"-","HERVL-int","ERVL","internal",33.2
"ENSG00000227176.1","NSA2P5","blue","chr2","-",170078294,170077795,170080294,"chr2_170078783_170078854_HERVL-int",170078783,170078854,"-","HERVL-int","ERVL","internal",24.3
"ENSG00000250863.2","ENSG00000250863","grey","chr4","-",44025516,44025017,44027516,"chr4_44025277_44025608_LTR16A",44025277,44025608,"+","LTR16A","ERVL","LTR_or_other",35
"ENSG00000244381.1","SDHDP3","magenta","chr3","+",169709295,169707295,169709794,"chr3_169708200_169708558_MLT1A0",169708200,169708558,"+","MLT1A0","ERVL-MaLR","LTR_or_other",17.9
"ENSG00000100422.14","CERK","brown","chr22","-",46738252,46737753,46740252,"chr22_46739899_46739956_MLT1B",46739899,46739956,"+","MLT1B","ERVL-MaLR","LTR_or_other",22.1
"ENSG00000100422.14","CERK","brown","chr22","-",46738252,46737753,46740252,"chr22_46740244_46740454_MLT1B",46740244,46740454,"+","MLT1B","ERVL-MaLR","LTR_or_other",22.1
"ENSG00000117507.6","FMO6P","grey","chr1","+",171137740,171135740,171138239,"chr1_171135911_171136333_LTR33B",171135911,171136333,"+","LTR33B","ERVL","LTR_or_other",32.8
"ENSG00000272180.1","ENSG00000272180","grey","chr2","+",55952158,55950158,55952657,"chr2_55951984_55952415_MLT1C",55951984,55952415,"+","MLT1C","ERVL-MaLR","LTR_or_other",20.7
"ENSG00000146521.11","LINC01558","turquoise","chr6","-",167791093,167790594,167793093,"chr6_167792697_167793051_THE1A",167792697,167793051,"+","THE1A","ERVL-MaLR","LTR_or_other",7
"ENSG00000286996.1","ENSG00000286996","greenyellow","chr3","+",39420644,39418644,39421143,"chr3_39418299_39419272_LTR5_Hs",39418299,39419272,"-","LTR5_Hs","ERVK","LTR_or_other",7.5
"ENSG00000134250.21","NOTCH2","turquoise","chr1","-",120100779,120100280,120102779,"chr1_120100755_120101121_MLT1M",120100755,120101121,"+","MLT1M","ERVL-MaLR","LTR_or_other",23.5
"ENSG00000137807.16","KIF23","saddlebrown","chr15","+",69415994,69413994,69416493,"chr15_69414047_69414106_MLT1L",69414047,69414106,"+","MLT1L","ERVL-MaLR","LTR_or_other",21.7
